epsilon,coverage,coverage_double,coverage_cumul,avg_length,std_length,avg_length_double,std_length_double,avg_length_cumul,std_length_cumul,avg_interval_target_lower,avg_interval_target_upper,std_interval_target_lower,std_interval_target_upper,avg_interval_target_double_lower,avg_interval_target_double_upper,std_interval_target_double_lower,std_interval_target_double_upper,avg_interval_target_cumul_lower,avg_interval_target_cumul_upper,std_interval_target_cumul_lower,std_interval_target_cumul_upper,avg_interval_behavior_lower,avg_interval_behavior_upper,std_interval_behavior_lower,std_interval_behavior_upper,avg_quantile,avg_std_quantile,std_avg_quantile,avg_double_quantile_low,avg_std_double_quantile_low,std_avg_double_quantile_low,avg_double_quantile_high,avg_std_double_quantile_high,std_avg_double_quantile_high,avg_cumul_quantile_low,avg_std_cumul_quantile_low,std_avg_cumul_quantile_low,avg_cumul_quantile_high,avg_std_cumul_quantile_high,std_avg_cumul_quantile_high,horizon,epsilon_pi_behavior,avg_weights,std_weights,avg_ratio_what_w,std_ratio_what_w,median_ratio_what_w,avg_delta_w,std_delta_w,median_delta_w
0.0000,100.0000,100.0000,100.0000,49.0000,0.0000,49.0000,0.0000,60.0000,0.0000,33.0000,82.0000,0.0000,0.0000,30.0000,79.0000,0.0000,0.0000,24.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,6.3320,0.0581,0.0000,9.5630,0.0398,0.0000,3.5358,0.1670,0.0000,24.0000,0.0000,0.0000,84.0752,0.2647,0.0000,5.0000,0.4000,1.0290,0.1190,1.0290,0.1190,1.0604,0.0468,0.0790,0.0385
0.0500,99.0000,99.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.7170,0.0205,0.0000,10.5546,0.0439,0.0000,3.7774,0.0893,0.0000,22.0000,0.0000,0.0000,83.5489,0.4995,0.0000,5.0000,0.4000,0.9926,0.0910,0.9926,0.0910,0.9982,0.0353,0.0580,0.0279
0.1000,100.0000,98.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6980,0.0326,0.0000,10.5546,0.0439,0.0000,3.8295,0.0000,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,1.0192,0.0519,1.0192,0.0519,1.0185,0.0203,0.0377,0.0168
0.1500,100.0000,100.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.5358,0.0465,0.0000,10.2776,0.0111,0.0000,3.4760,0.1935,0.0000,22.0000,0.0000,0.0000,83.6842,0.4666,0.0000,5.0000,0.4000,1.0092,0.0398,1.0092,0.0398,1.0078,0.0126,0.0322,0.0059
0.2000,100.0000,100.0000,100.0000,51.0000,0.0000,51.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,80.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.5407,0.0466,0.0000,10.2719,0.0127,0.0000,3.9393,0.0954,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,1.0113,0.0319,1.0113,0.0319,1.0090,0.0114,0.0250,0.0063
0.2500,98.0000,98.0000,100.0000,51.0000,0.0000,51.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,80.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6256,0.0000,0.0000,10.3530,0.0984,0.0000,4.0217,0.0000,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,1.0003,0.0216,1.0003,0.0216,1.0035,0.0076,0.0154,0.0041
0.3000,99.0000,99.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6574,0.0000,0.0000,10.4925,0.0000,0.0000,3.8295,0.0000,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,1.0024,0.0156,1.0024,0.0156,1.0025,0.0059,0.0106,0.0040
0.3500,98.0000,96.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6256,0.0000,0.0000,10.4925,0.0000,0.0000,3.8570,0.0675,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,1.0003,0.0087,1.0003,0.0087,1.0005,0.0028,0.0066,0.0019
0.4000,100.0000,98.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6574,0.0000,0.0000,10.4925,0.0000,0.0000,3.8295,0.0000,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,0.9998,0.0002,0.9998,0.0002,0.9998,0.0001,0.0002,0.0001
0.4500,99.0000,97.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6505,0.0132,0.0000,10.4925,0.0000,0.0000,3.7912,0.0800,0.0000,22.0000,0.0000,0.0000,83.8722,0.3352,0.0000,5.0000,0.4000,1.0007,0.0058,1.0007,0.0058,1.0005,0.0017,0.0047,0.0010
0.5000,97.0000,98.0000,99.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6584,0.0081,0.0000,10.5232,0.0439,0.0000,3.9003,0.0930,0.0000,22.0000,0.0000,0.0000,84.0075,0.0867,0.0000,5.0000,0.4000,0.9990,0.0127,0.9990,0.0127,0.9998,0.0045,0.0089,0.0038
0.5500,98.0000,100.0000,100.0000,51.0000,0.0000,51.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,80.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.5854,0.0000,0.0000,10.2841,0.0000,0.0000,4.0249,0.0059,0.0000,22.0000,0.0000,0.0000,84.0000,0.0000,0.0000,5.0000,0.4000,0.9964,0.0269,0.9964,0.0269,0.9975,0.0092,0.0201,0.0062
0.6000,100.0000,99.0000,100.0000,51.0000,0.0000,50.0000,0.0000,62.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,79.0000,0.0000,0.0000,22.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.6452,0.0155,0.0000,10.4392,0.0913,0.0000,3.5388,0.1650,0.0000,22.0000,0.0000,0.0000,83.7444,0.4379,0.0000,5.0000,0.4000,0.9693,0.0311,0.9693,0.0311,0.9626,0.0193,0.0205,0.0195
0.6500,95.0000,96.0000,97.0000,51.0000,0.0000,51.0000,0.0000,61.0000,0.0000,32.0000,83.0000,0.0000,0.0000,29.0000,80.0000,0.0000,0.0000,23.0000,84.0000,0.0000,0.0000,39.0000,76.0000,0.0000,0.0000,7.3530,0.0984,0.0000,10.2521,0.0051,0.0000,4.0347,0.0035,0.0000,23.0000,0.0000,0.0000,84.4436,0.4987,0.0000,5.0000,0.4000,0.9707,0.0423,0.9707,0.0423,0.9669,0.0208,0.0302,0.0182
